year,ncessch,ncessch_num,leaid,fips,grade,race,sex,enrollment
2011,62271009572,62271009572,622710,6,3,3,2,47.0
2015,291140001990,291140001990,2911400,29,99,3,2,4.0
2010,341494004100,341494004100,3414940,34,10,6,1,0.0
2006,360008703805,360008703805,3600087,36,4,99,1,34.0
2015,240051000998,240051000998,2400510,24,5,2,99,53.0
2005,320006000259,320006000259,3200060,32,5,4,1,5.0
2012,130042002604,130042002604,1300420,13,1,7,2,1.0
1992,63795006396,63795006396,637950,6,99,5,99,8.0
2017,10243001691,10243001691,102430,1,2,5,1,
2007,180345000485,180345000485,1803450,18,4,4,1,0.0
2010,170399000085,170399000085,1703990,17,9,6,99,0.0
2012,481623006242,481623006242,4816230,48,5,3,1,19.0
2014,62199002612,62199002612,621990,6,4,99,1,21.0
2006,63118011836,63118011836,631180,6,6,3,1,5.0
2009,421890002647,421890002647,4218900,42,3,7,1,-2.0
2017,490042001090,490042001090,4900420,49,10,99,99,0.0
2018,280186000914,280186000914,2801860,28,9,5,1,0.0
2009,271878002173,271878002173,2718780,27,12,99,2,0.0
2001,280078000086,280078000086,2800780,28,6,4,99,0.0
1990,482064002075,482064002075,4820640,48,11,99,99,98.0
2017,61152001289,61152001289,611520,6,99,4,2,16.0
2006,551310001727,551310001727,5513100,55,5,5,2,0.0
2018,62169008876,62169008876,621690,6,2,3,99,51.0
2008,483510003967,483510003967,4835100,48,0,6,99,0.0
2017,340756000722,340756000722,3407560,34,99,4,2,2.0
1998,481764001524,481764001524,4817640,48,99,4,99,69.0
2008,550732000832,550732000832,5507320,55,-1,6,99,0.0
2014,40086201783,40086201783,400862,4,11,7,1,0.0
2014,551288001701,551288001701,5512880,55,2,5,2,0.0
2016,120138001336,120138001336,1201380,12,11,2,2,0.0
2009,400639000248,400639000248,4006390,40,2,99,99,32.0
2013,50003501419,50003501419,500035,5,3,2,1,2.0
2012,420082707366,420082707366,4200827,42,5,4,99,0.0
2008,302734000764,302734000764,3027340,30,3,6,1,-2.0
2002,191611000965,191611000965,1916110,19,9,5,2,0.0
2017,240051001555,240051001555,2400510,24,6,6,1,
2016,360012304352,360012304352,3600123,36,9,2,99,0.0
1999,551317001739,551317001739,5513170,55,99,5,2,1.0
